2017-10-31T18:13:58.544+0530 I -        [conn27] end connection 127.0.0.1:56988 (3 connections now open)
2017-10-31T18:33:12.226+0530 I -        [conn26] end connection 127.0.0.1:56984 (2 connections now open)
2017-10-31T18:34:53.029+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:49688 #29 (2 connections now open)
2017-10-31T18:34:53.029+0530 I NETWORK  [conn29] received client metadata from 127.0.0.1:49688 conn29: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T18:34:53.040+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:49692 #30 (3 connections now open)
2017-10-31T18:34:53.040+0530 I NETWORK  [conn30] received client metadata from 127.0.0.1:49692 conn30: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T18:34:53.042+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:49693 #31 (4 connections now open)
2017-10-31T18:34:53.042+0530 I NETWORK  [conn31] received client metadata from 127.0.0.1:49693 conn31: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T18:34:53.043+0530 I -        [conn31] end connection 127.0.0.1:49693 (4 connections now open)
2017-10-31T18:34:53.043+0530 I -        [conn30] end connection 127.0.0.1:49692 (3 connections now open)
2017-10-31T18:37:35.235+0530 I -        [conn29] end connection 127.0.0.1:49688 (2 connections now open)
2017-11-01T01:52:34.491+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T01:52:35.497+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1006ms (3 connections now open to localhost:27017)
2017-11-01T01:53:34.493+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T02:40:34.823+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T02:40:35.826+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1004ms (3 connections now open to localhost:27017)
2017-11-01T02:41:34.824+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T03:05:14.970+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T03:05:15.976+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1006ms (3 connections now open to localhost:27017)
2017-11-01T03:06:14.970+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T03:44:25.196+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T03:44:26.202+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1006ms (3 connections now open to localhost:27017)
2017-11-01T03:45:25.197+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T04:42:45.565+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T04:42:46.569+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1004ms (3 connections now open to localhost:27017)
2017-11-01T04:43:45.565+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T05:01:15.688+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T05:01:16.695+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1007ms (3 connections now open to localhost:27017)
2017-11-01T05:02:15.689+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T06:19:26.455+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T06:19:27.460+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1005ms (3 connections now open to localhost:27017)
2017-11-01T06:20:26.456+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T07:26:06.927+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T07:26:07.931+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1004ms (3 connections now open to localhost:27017)
2017-11-01T07:27:06.928+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T08:12:27.158+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-11-01T08:12:28.160+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1002ms (3 connections now open to localhost:27017)
2017-11-01T08:13:27.159+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Ending idle connection to host localhost:27017 because the pool meets constraints; 2 connections to that host remain open
2017-11-01T10:31:03.849+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52899 #32 (2 connections now open)
2017-11-01T10:31:03.856+0530 I NETWORK  [conn32] received client metadata from 127.0.0.1:52899 conn32: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-11-01T10:31:03.872+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52903 #33 (3 connections now open)
2017-11-01T10:31:03.872+0530 I NETWORK  [conn33] received client metadata from 127.0.0.1:52903 conn33: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-11-01T10:31:03.890+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52904 #34 (4 connections now open)
